TransectID,Year,n_intersection_points,is_multipoint,OLD_monsoon_dist_m,NEW_monsoon_dist_m,PostMonsoon_dist_m,GT_dist_m,OLD_abs_error_m,NEW_abs_error_m
174,2021,6,True,-162.1146965297521,-162.1146965297521,0.0,-202.76,40.64530347024788,40.64530347024788
183,2021,0,False,,,,,,
184,2021,4,True,-42.39893403835595,8.090450338553751,40.0,-12.11,30.288934038355947,20.20045033855375
185,2021,4,True,175.4331164234319,-16.42654420994222,0.0,145.14,30.29311642343191,161.5665442099422
186,2021,4,True,-136.42654359852895,4.943732657469695,-0.0,-25.35,111.07654359852896,30.293732657469697
189,2021,2,True,-384.76263658562686,-223.19660657877102,60.0,-384.76,0.0026365856268739662,161.56339342122897
194,2021,4,True,,26.10002826456912,50.0,26.1,,2.826456911719788e-05
195,2021,2,True,-400.8475619405509,-77.71550192683935,-20.0,-410.95,10.10243805944907,333.23449807316064
196,2021,10,True,-455.36236209701747,-99.71188778016949,-30.0,-424.88,30.48236209701747,325.1681122198305
199,2021,10,True,,-73.89830364380032,-30.0,-73.9,,0.0016963561996874432
207,2021,4,True,-5.710189196281135,-5.710189196281135,0.0,196.25,201.96018919628114,201.96018919628114
209,2021,4,True,305.52380424753176,-172.06397554943976,-210.0,-172.06,477.58380424753176,0.003975549439758197
210,2021,4,True,456.0081310105745,252.7792885437957,-0.0,-306.1,762.1081310105745,558.8792885437957
211,2021,2,True,-206.42291434134825,159.38900209941016,0.0,-186.1,20.322914341348252,345.4890020994102
213,2021,2,True,-179.81319713778794,-78.19877590442775,0.0,-7.07,172.74319713778794,71.12877590442775
214,2021,2,True,-201.26617685065162,-48.844545000582,0.0,-18.36,182.9061768506516,30.484545000582003
215,2021,4,True,-416.5937663058286,-71.10473411227576,,-477.56,60.96623369417142,406.45526588772424
216,2021,2,True,-206.90127014927566,-206.90127014927566,-370.0,-196.8,10.10127014927565,10.10127014927565
217,2021,6,True,-156.27088218537392,-44.49501882866025,,-359.5,203.22911781462608,315.00498117133975
220,2021,4,True,-29.499725044413935,-29.499725044413935,-30.0,-263.21,233.71027495558604,233.71027495558604
222,2021,8,True,225.33524031518027,225.33524031518027,320.0,73.87,151.46524031518027,151.46524031518027
224,2021,4,True,59.499724613386206,-387.6037288135267,-460.0,-123.41,182.9097246133862,264.1937288135267
226,2021,4,True,,-164.06141352414852,-130.0,-174.22,,10.158586475851479
229,2021,4,True,83.25420305487921,83.25420305487921,0.0,408.42,325.1657969451208,325.1657969451208
231,2021,0,False,,,10.0,,,
233,2021,4,True,-50.391719969920814,-20.098089343868196,0.0,,,
236,2021,4,True,-19.690023156348616,-9.592146281152964,10.0,-29.79,10.099976843651383,20.197853718847036
242,2021,2,True,387.569424368441,448.1566856210119,460.0,377.47,10.099424368440964,70.68668562101186
244,2021,2,True,-32.43057538662106,-32.43057538662106,-40.0,-42.53,10.099424613378943,10.099424613378943
245,2021,2,True,-58.98716357565729,22.304373411054144,40.0,-58.99,0.002836424342710586,81.29437341105415
261,2021,2,True,-21.87651752581587,-21.87651752581587,,-52.36,30.48348247418413,30.48348247418413
263,2021,4,True,-291.8112473306246,1.0271820570342243,50.0,-59.56,232.2512473306246,60.58718205703423
264,2021,1,False,-83.4416616233068,-83.4416616233068,0.0,-52.96,30.4816616233068,30.4816616233068
265,2021,2,True,-135.54712749784812,-135.54712749784812,0.0,-115.35,20.19712749784813,20.19712749784813
1,2023,2,True,,,,,,
2,2023,0,False,,,,,,
3,2023,0,False,,,10.0,,,
4,2023,0,False,,,-300.0,,,
8,2023,0,False,,,,,,
9,2023,4,True,-0.3685126884956844,9.792929434858024,10.0,-0.37,0.0014873115043155805,10.162929434858023
10,2023,2,True,25.6089361240156,25.6089361240156,12.97,-1.75,27.3589361240156,27.3589361240156
13,2023,1,False,1.3836718811652418,1.3836718811652418,-20.0,,,
14,2023,1,False,-88.22481828388311,-88.22481828388311,-0.0,,,
15,2023,1,False,-137.4418042644511,-137.4418042644511,-0.0,,,
16,2023,1,False,-166.46303699818827,-166.46303699818827,-0.0,381.76,548.2230369981883,548.2230369981883
17,2023,3,True,,-129.78352005814793,-150.0,,,
18,2023,5,True,,-91.07505827579882,0.0,,,
19,2023,1,False,-225.1111149903545,-225.1111149903545,0.0,-255.6,30.488885009645486,30.488885009645486
23,2023,1,False,-308.92650793772043,-308.92650793772043,-0.0,-326.19,17.263492062279568,17.263492062279568
24,2023,3,True,,-327.84985880239276,-0.0,-365.31,,37.46014119760724
27,2023,1,False,-433.5155104226434,-433.5155104226434,-420.0,-453.84,20.324489577356587,20.324489577356587
28,2023,1,False,-445.61426826631543,-445.61426826631543,0.0,-486.26,40.645731733684556,40.645731733684556
29,2023,1,False,-467.8744575430245,-467.8744575430245,0.0,-498.36,30.48554245697551,30.48554245697551
30,2023,1,False,,,0.0,,,
32,2023,1,False,,,,,,
33,2023,2,True,,,0.0,,,
35,2023,2,True,,433.4872987699051,-0.0,,,
36,2023,2,True,,303.48729929359104,-0.0,286.22,,17.26729929359101
37,2023,2,True,173.48730058977503,173.48730058977503,-0.0,156.22,17.267300589775033,17.267300589775033
38,2023,3,True,,,0.0,,,
40,2023,2,True,-208.66600453760475,13.487286721821874,0.0,-246.12,37.453995462395255,259.6072867218219
41,2023,3,True,160.6377716644398,-42.59107082710693,-0.0,,,
42,2023,3,True,310.79922877118224,5.955965071043465,40.0,56.76,254.03922877118225,50.80403492895653
44,2023,2,True,-393.48728701937944,-9.767965753097087,-20.0,-366.13,27.35728701937944,356.3620342469029
45,2023,2,True,,-38.88707384513691,0.0,28.86,,67.74707384513691
46,2023,2,True,,-27.61467425012961,-0.0,,,
47,2023,3,True,-14.376346780019503,-14.376346780019503,0.05,26.27,40.6463467800195,40.6463467800195
48,2023,1,False,-16.313635688857175,-16.313635688857175,-10.0,14.17,30.483635688857177,30.483635688857177
52,2023,1,False,-44.87006827024743,-44.87006827024743,-40.0,-4.22,40.65006827024743,40.65006827024743
55,2023,1,False,-41.00486907764571,-41.00486907764571,-410.0,-0.36,40.64486907764571,40.64486907764571
57,2023,1,False,-25.040922575397417,-25.040922575397417,-350.0,15.6,40.64092257539742,40.64092257539742
59,2023,3,True,-52.44374276799181,-52.44374276799181,-50.0,-25.08,27.36374276799181,27.36374276799181
60,2023,1,False,-21.175722922256682,-21.175722922256682,-30.0,-0.85,20.32572292225668,20.32572292225668
63,2023,1,False,-17.745668644551188,-17.745668644551188,-240.0,-121.66,103.91433135544881,103.91433135544881
64,2023,1,False,-46.86477659409866,-46.86477659409866,-40.0,-241.66,194.79522340590134,194.79522340590134
65,2023,1,False,-15.396607010765479,-15.396607010765479,-40.0,-361.66,346.26339298923455,346.26339298923455
66,2023,3,True,57.20044409949321,57.20044409949321,0.0,,,
67,2023,3,True,14.617370342311801,14.617370342311801,-40.0,,,
68,2023,1,False,22.357163888690593,22.357163888690593,-50.0,,,
69,2023,1,False,-51.383671523071826,-51.383671523071826,-30.0,,,
70,2023,1,False,51.35598849796213,51.35598849796213,,,,
75,2023,7,True,-434.1573414313607,-100.92740454245359,-70.0,,,
76,2023,14,True,-379.4512218988966,-308.32112703553867,-310.0,,,
79,2023,4,True,,-2.9935377762303688,20.0,,,
81,2023,7,True,,-0.7150920941494405,0.0,,,
83,2023,7,True,-371.53625383519113,441.37911603186524,440.0,-371.54,0.0037461648088878974,812.9191160318653
84,2023,7,True,,-59.24693681496751,,,,
88,2023,6,True,132.86838353006146,52.0853685266336,-0.0,,,
89,2023,5,True,-139.18703120574355,-28.11038557626307,-0.0,,,
90,2023,5,True,-28.404016111046076,-28.404016111046076,-0.0,,,
93,2023,4,True,,-12.025460036005825,-210.0,,,
96,2023,2,True,209.61266421212338,-176.52213647472684,-200.0,,,
97,2023,5,True,-206.0378099611262,-206.0378099611262,-210.0,,,
98,2023,7,True,,204.58483110240195,240.0,,,
100,2023,5,True,-30.87166176107712,-142.6475251177908,-120.0,,,
101,2023,14,True,,-10.548777961404994,-10.0,,,
106,2023,5,True,39.75288227619603,39.75288227619603,,,,
107,2023,20,True,453.78703174338443,453.78703174338443,,,,
123,2023,4,True,-129.23330985743087,2.865437745989766,10.0,-17.46,111.77330985743086,20.325437745989767
126,2023,2,True,-160.97708092443645,-39.802558419294655,-40.0,-153.81,7.167080924436448,114.00744158070535
128,2023,6,True,194.47985818737652,204.64130031073,200.0,,,
129,2023,4,True,488.6314118220472,-349.49236883828416,,,,
131,2023,4,True,,278.6314115570858,300.0,305.99,,27.358588442914197
134,2023,8,True,,-4.874372785794549,0.0,,,
136,2023,4,True,-104.96418513904882,-104.96418513904882,-80.0,,,
137,2023,4,True,-156.75181644968688,-156.75181644968688,-170.0,,,
138,2023,4,True,,0.031108904629832068,,,,
143,2023,4,True,-9.708224594709463,-9.708224594709463,,,,
147,2023,2,True,,,,,,
148,2023,4,True,,,,,,
150,2023,0,False,,,,,,
151,2023,2,True,-63.36858673999086,17.92295024672069,,,,
157,2023,4,True,-45.25202084099874,-35.154143965337425,-20.0,,,
158,2023,2,True,,,,,,
161,2023,2,True,-113.22596833604621,-42.095873472630046,-40.0,,,
165,2023,2,True,-64.68131854245439,6.003819585312272,20.0,,,
167,2023,2,True,6.591080842073893,6.591080842073893,0.0,,,
168,2023,4,True,-218.70192568487255,4.84980102855468,0.0,,,
170,2023,2,True,-61.71379535272729,-61.71379535272729,-100.0,,,
174,2023,8,True,,-172.2761386531056,,,,
183,2023,0,False,,,-37.15,,,
184,2023,4,True,-12.105303412303329,-12.105303412303329,-50.0,,,
185,2023,8,True,,3.769209540914744,0.0,,,
186,2023,4,True,-136.42654359852895,4.943732657469695,-20.0,,,
189,2023,8,True,-233.29448345443234,-233.29448345443234,-240.0,,,
194,2023,2,True,15.938586141273731,15.938586141273731,10.0,,,
195,2023,2,True,-451.33694631792616,-57.519748175982386,-80.0,,,
196,2023,2,True,-89.55044565687422,-89.55044565687422,-90.0,,,
199,2023,4,True,-53.70254989294335,-53.70254989294335,,,,
207,2023,4,True,-56.19957357319072,-56.19957357319072,,,,
209,2023,4,True,488.4297624676252,-172.06397554943976,-150.0,,,
210,2023,2,True,-295.9385861164776,252.7792885437957,-0.0,,,
211,2023,4,True,210.19621271619667,-196.2614722179793,0.0,,,
213,2023,4,True,-189.97463926114142,-37.55300741107203,-110.0,,,
214,2023,2,True,-201.26617685065162,-28.521660753933247,-50.0,,,
215,2023,6,True,-50.78184986562701,-60.94329198898038,-60.0,,,
216,2023,6,True,,-95.82462451979518,-40.0,,,
217,2023,4,True,,-146.10944006202044,-140.0,,,
220,2023,4,True,-29.499725044413935,-29.499725044413935,-30.0,,,
222,2023,6,True,-168.48195782629773,-168.48195782629773,0.0,,,
224,2023,4,True,-367.2808445668197,161.1141458467464,120.0,,,
226,2023,4,True,-153.89997140085325,-153.89997140085325,-170.0,,,
229,2023,4,True,,93.41564517817471,270.0,,,
231,2023,2,True,-0.03477186936652288,-0.03477186936652288,10.0,,,
233,2023,4,True,10.19554128264997,10.19554128264997,0.0,,,
236,2023,4,True,-9.592146281152964,-9.592146281152964,,,,
242,2023,15,True,195.70976373506699,125.02462560730044,,,,
244,2023,15,True,-193.9966053934769,7.960932115092874,,,,
245,2023,2,True,-58.98716357565729,22.304373411054144,,,,
261,2023,2,True,-21.87651752581587,-21.87651752581587,-50.0,,,
263,2023,4,True,-59.56007919553667,1.0271820570342243,10.0,,,
264,2023,1,False,-63.11877737665793,-63.11877737665793,0.0,,,
265,2023,2,True,-135.54712749784812,-44.66623561922461,-0.0,,,
