Year,Smoothing,TransectID,GAN_dist_m,GT_dist_m,GAN_is_multipoint,abs_error_m
2021,none,1,,,False,
2021,none,2,,,False,
2021,none,3,-124.03267400478933,-113.93479712912813,True,10.0978768756612
2021,none,4,-182.85815125191584,-172.76027437625453,True,10.097876875661314
2021,none,8,,,False,
2021,none,9,-41.0142811818514,-30.85283905849792,True,10.161442123353481
2021,none,10,-55.174078879412264,-34.9783251285553,True,20.195753750856966
2021,none,13,-59.20358937140554,-39.007835620548576,False,20.195753750856966
2021,none,14,-47.833310782081526,-78.12694140819963,False,30.2936306261181
2021,none,15,-137.4418042644511,-86.95241988698604,False,50.48938437746506
2021,none,16,-136.1694063716676,-126.07152949647116,False,10.097876875196448
2021,none,17,,-200.91361492160217,True,
2021,none,18,,-202.85092163296974,True,
2021,none,19,-255.5954413611139,-235.27255711394093,False,20.322884247172965
2021,none,23,-329.122261689521,-308.92650793772043,False,20.195753751800567
2021,none,24,,-358.1434894315895,True,
2021,none,27,-463.99983679264574,-443.67695254599687,False,20.32288424664887
2021,none,28,-476.0985946379151,-435.45282614242944,False,40.64576849548564
2021,none,29,-498.3587839146276,-478.03589966691163,False,20.32288424771599
2021,none,30,,,False,
2021,none,32,,,False,
2021,none,33,,,True,
2021,none,35,,,True,
2021,none,36,,,True,
2021,none,37,173.48730058977503,,True,
2021,none,38,,,True,
2021,none,40,-249.05751203931868,-218.7638814128004,True,30.29363062651828
2021,none,41,-12.106744453389524,-1.9453023287975384,True,10.161442124591986
2021,none,42,36.4402914410457,16.11740719439706,True,20.32288424664864
2021,none,44,-393.48728701937944,-373.29153326852247,True,20.195753750856966
2021,none,45,,1.5044336565770209,True,
2021,none,46,,,True,
2021,none,47,26.269421718858553,16.10797959412446,True,10.161442124734094
2021,none,48,14.170690681144947,-6.152193565503694,False,20.32288424664864
2021,none,52,-14.385741900186986,-44.87006827024743,False,30.484326370060444
2021,none,55,-10.520542707585264,-10.520542707585264,False,0.0
2021,none,57,15.604845917958528,-4.718038328748662,False,20.32288424670719
2021,none,59,-22.15011213812477,-52.44374276799181,True,30.29363062986704
2021,none,60,-0.8528386756079271,-21.175722922256682,False,20.322884246648755
2021,none,63,12.547961981967092,2.4500851063058917,False,10.0978768756612
2021,none,64,-26.66902284324169,-16.57114596804604,False,10.097876875195652
2021,none,65,-25.494483887274896,-15.396607010765479,False,10.097876876509417
